,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
14797,1,21,193.0,89.0,8.0,89.0,39.6
20717,0,71,151.0,50.0,18.0,109.0,40.5
65266,1,42,194.0,89.0,2.0,84.0,38.1
24666,1,36,183.0,85.0,20.0,99.0,40.9
52668,0,45,182.0,77.0,12.0,90.0,39.9
5074,1,45,190.0,93.0,6.0,88.0,39.2
13330,1,43,183.0,85.0,16.0,89.0,40.3
30282,0,29,177.0,75.0,20.0,100.0,40.5
9186,0,54,150.0,53.0,5.0,92.0,39.0
50739,1,42,186.0,95.0,15.0,89.0,39.8
4457,1,35,183.0,75.0,9.0,94.0,39.7
20969,0,37,158.0,56.0,9.0,84.0,39.6
14109,1,23,189.0,84.0,22.0,104.0,40.6
69233,0,64,161.0,59.0,28.0,112.0,40.9
41187,0,21,175.0,65.0,26.0,111.0,40.9
44986,0,50,169.0,64.0,14.0,91.0,40.1
57309,0,20,161.0,65.0,16.0,96.0,40.5
34661,0,46,170.0,73.0,29.0,108.0,40.9
47676,1,38,192.0,100.0,12.0,94.0,40.1
65168,0,56,185.0,83.0,17.0,99.0,40.5
32985,0,32,169.0,69.0,1.0,87.0,37.4
6927,1,50,189.0,88.0,11.0,84.0,40.1
37108,1,20,187.0,84.0,12.0,96.0,39.8
68864,0,25,177.0,74.0,12.0,93.0,40.0
42859,0,20,169.0,69.0,16.0,88.0,40.1
39908,0,29,161.0,63.0,25.0,104.0,40.7
11742,1,59,187.0,88.0,1.0,85.0,37.7
2410,1,35,164.0,58.0,3.0,86.0,37.8
56336,1,20,189.0,89.0,4.0,77.0,39.0
1497,0,29,159.0,58.0,2.0,86.0,38.1
50260,0,66,169.0,69.0,26.0,110.0,40.8
69150,0,48,152.0,51.0,10.0,91.0,39.7
69488,0,46,152.0,59.0,6.0,84.0,39.3
39972,0,43,159.0,58.0,16.0,99.0,40.2
33041,1,56,188.0,92.0,4.0,72.0,38.9
9592,1,27,178.0,81.0,16.0,88.0,40.1
21665,1,42,188.0,89.0,14.0,83.0,40.3
68874,0,43,164.0,65.0,29.0,106.0,40.8
57332,0,67,170.0,72.0,25.0,106.0,40.7
3489,0,65,158.0,60.0,12.0,90.0,40.1
13059,0,25,165.0,63.0,22.0,109.0,40.8
3316,0,75,181.0,74.0,12.0,87.0,39.8
20502,1,32,164.0,66.0,15.0,96.0,40.4
68390,0,21,164.0,61.0,22.0,99.0,40.6
64139,0,38,165.0,64.0,12.0,88.0,40.1
14714,1,73,183.0,83.0,10.0,93.0,39.7
8899,1,40,178.0,80.0,9.0,85.0,39.7
47248,0,27,157.0,58.0,23.0,100.0,40.7
41248,1,30,177.0,87.0,16.0,93.0,40.3
69468,1,41,189.0,93.0,19.0,101.0,40.6
24253,1,62,187.0,92.0,14.0,96.0,40.3
34582,1,43,186.0,88.0,3.0,85.0,38.5
55461,1,28,173.0,74.0,4.0,85.0,39.1
23463,0,40,151.0,55.0,4.0,81.0,38.9
37123,0,26,174.0,67.0,16.0,94.0,40.5
50466,0,50,177.0,75.0,23.0,103.0,40.7
38252,1,51,175.0,73.0,2.0,94.0,38.6
51998,1,48,187.0,82.0,11.0,88.0,39.7
60455,1,45,192.0,91.0,13.0,89.0,40.2
72284,1,51,193.0,94.0,24.0,103.0,40.8
34050,1,45,173.0,72.0,21.0,99.0,40.4
33009,1,25,187.0,88.0,9.0,89.0,39.6
40019,0,28,162.0,61.0,22.0,109.0,40.6
65855,1,21,185.0,88.0,22.0,103.0,40.6
19038,1,35,183.0,86.0,24.0,105.0,40.7
42223,0,75,161.0,62.0,13.0,96.0,39.8
39996,0,37,161.0,61.0,12.0,99.0,40.2
72876,0,64,158.0,62.0,28.0,113.0,40.7
24391,0,34,159.0,61.0,4.0,83.0,38.9
28997,1,45,184.0,90.0,28.0,113.0,40.9
62802,0,54,164.0,64.0,19.0,100.0,40.5
39662,0,52,156.0,59.0,2.0,75.0,38.2
28616,1,61,181.0,83.0,1.0,83.0,37.9
44054,0,62,160.0,64.0,26.0,102.0,40.8
28799,0,30,166.0,61.0,13.0,92.0,40.1
26815,1,42,183.0,81.0,9.0,93.0,39.7
11203,0,45,175.0,70.0,15.0,84.0,40.1
44597,1,48,184.0,82.0,25.0,98.0,40.9
7703,0,30,178.0,77.0,4.0,77.0,38.8
10542,1,29,180.0,84.0,17.0,93.0,40.4
33579,1,38,181.0,78.0,20.0,94.0,40.5
43975,0,39,161.0,64.0,27.0,104.0,41.0
18685,1,28,188.0,85.0,5.0,91.0,39.1
7250,1,63,170.0,80.0,13.0,92.0,39.9
8608,1,61,187.0,92.0,15.0,94.0,40.3
36401,1,48,198.0,101.0,26.0,103.0,40.6
26436,1,20,169.0,69.0,4.0,87.0,38.9
42401,0,50,184.0,73.0,14.0,103.0,39.9
28696,0,27,168.0,63.0,8.0,89.0,39.8
66374,1,37,199.0,98.0,7.0,88.0,39.5
61102,0,33,162.0,64.0,8.0,87.0,39.8
480,0,45,173.0,71.0,19.0,97.0,40.8
55604,1,34,170.0,74.0,10.0,88.0,39.9
37803,1,78,175.0,77.0,21.0,103.0,40.7
46908,0,56,160.0,61.0,2.0,81.0,38.4
62395,1,25,174.0,77.0,16.0,95.0,40.2
31184,0,29,169.0,70.0,12.0,87.0,40.3
67651,1,38,187.0,90.0,11.0,94.0,40.1
70090,1,27,190.0,95.0,25.0,101.0,41.0
38045,1,64,176.0,78.0,15.0,97.0,39.9
9068,0,68,184.0,77.0,10.0,90.0,39.7
41631,1,46,177.0,77.0,6.0,84.0,39.2
30018,0,38,162.0,59.0,24.0,96.0,40.9
28603,0,37,163.0,60.0,7.0,86.0,39.3
60257,1,30,187.0,91.0,27.0,104.0,40.7
74124,0,58,157.0,61.0,5.0,80.0,39.1
20421,0,32,175.0,67.0,26.0,103.0,40.7
37064,1,37,181.0,81.0,5.0,79.0,38.7
351,1,41,184.0,88.0,10.0,90.0,39.8
3252,1,38,196.0,91.0,2.0,88.0,38.6
67233,1,37,187.0,90.0,9.0,89.0,39.9
5823,1,21,166.0,69.0,28.0,108.0,40.7
7457,0,22,161.0,60.0,12.0,96.0,40.1
49392,1,64,183.0,90.0,29.0,108.0,40.8
54116,0,24,155.0,55.0,27.0,109.0,40.7
51247,1,22,191.0,96.0,15.0,96.0,40.4
27205,0,23,154.0,57.0,22.0,95.0,40.6
67874,1,64,179.0,86.0,7.0,89.0,39.2
1853,0,45,170.0,69.0,23.0,102.0,40.5
24743,0,22,161.0,61.0,24.0,111.0,40.4
16432,1,22,177.0,76.0,29.0,109.0,40.8
37301,0,30,159.0,56.0,7.0,85.0,39.7
50329,0,52,184.0,85.0,10.0,87.0,39.7
59790,0,64,167.0,65.0,29.0,113.0,41.1
53499,1,23,172.0,74.0,29.0,104.0,40.9
54408,1,38,171.0,77.0,21.0,103.0,40.4
28996,1,22,188.0,83.0,14.0,99.0,40.1
28495,0,40,155.0,55.0,16.0,91.0,40.3
73135,1,27,179.0,82.0,14.0,94.0,40.0
18974,0,21,166.0,60.0,21.0,102.0,40.7
14524,0,21,174.0,72.0,18.0,96.0,40.5
28627,0,33,147.0,52.0,2.0,81.0,38.2
39429,1,23,177.0,76.0,18.0,95.0,40.2
71367,0,32,172.0,70.0,10.0,97.0,39.8
59307,0,35,172.0,62.0,8.0,95.0,39.9
10444,0,61,158.0,61.0,10.0,92.0,40.0
12929,0,48,148.0,52.0,18.0,104.0,40.4
64877,0,58,160.0,62.0,16.0,96.0,40.2
45861,0,55,175.0,73.0,7.0,89.0,39.4
34522,0,20,169.0,64.0,9.0,91.0,39.8
58252,0,44,174.0,67.0,9.0,84.0,39.9
35828,1,40,187.0,90.0,11.0,98.0,39.9
1565,1,20,184.0,82.0,23.0,108.0,40.8
74236,0,36,170.0,67.0,7.0,85.0,39.3
59115,1,71,181.0,84.0,30.0,114.0,41.0
35688,0,58,161.0,66.0,27.0,104.0,40.6
72966,1,50,171.0,77.0,9.0,85.0,39.8
26735,1,20,184.0,94.0,15.0,92.0,40.3
54814,1,63,187.0,93.0,10.0,88.0,40.0
11385,0,59,167.0,64.0,11.0,94.0,40.0
36360,0,45,163.0,64.0,28.0,117.0,40.6
53016,0,52,151.0,55.0,19.0,95.0,40.5
72022,1,37,191.0,89.0,9.0,91.0,39.8
57262,0,25,175.0,70.0,25.0,108.0,40.8
33254,0,43,173.0,72.0,28.0,101.0,40.9
37417,1,20,189.0,87.0,2.0,84.0,38.0
22062,0,60,166.0,66.0,13.0,89.0,39.9
27859,0,46,151.0,53.0,8.0,92.0,39.4
45196,1,40,183.0,88.0,5.0,86.0,39.4
50675,1,33,187.0,91.0,14.0,93.0,40.0
28808,1,23,175.0,76.0,26.0,104.0,40.9
47173,1,48,182.0,92.0,15.0,99.0,40.3
28323,0,31,164.0,58.0,15.0,89.0,40.5
317,1,50,200.0,103.0,15.0,90.0,40.2
41793,0,33,166.0,65.0,25.0,106.0,40.7
41177,0,40,165.0,68.0,12.0,97.0,40.1
7078,1,30,188.0,84.0,19.0,101.0,40.4
53416,0,63,149.0,54.0,24.0,102.0,40.7
36576,0,50,161.0,59.0,22.0,104.0,40.6
108,1,39,182.0,86.0,16.0,89.0,40.6
56558,0,54,159.0,61.0,17.0,102.0,40.1
46304,1,21,175.0,74.0,8.0,91.0,39.5
64903,1,60,197.0,95.0,5.0,83.0,39.0
72053,0,30,162.0,56.0,10.0,92.0,39.4
67168,1,76,189.0,91.0,24.0,100.0,40.8
17337,0,34,163.0,62.0,25.0,105.0,41.0
56324,1,73,186.0,91.0,3.0,88.0,38.5
770,1,50,177.0,85.0,26.0,102.0,40.8
70412,0,25,158.0,54.0,14.0,96.0,40.4
28061,1,54,187.0,88.0,16.0,99.0,40.1
54804,0,50,167.0,66.0,25.0,100.0,40.6
62090,0,22,176.0,71.0,25.0,101.0,40.7
51183,0,45,166.0,66.0,16.0,101.0,40.5
5195,1,64,197.0,101.0,7.0,91.0,39.7
71898,1,56,185.0,85.0,6.0,86.0,39.1
25306,0,31,168.0,66.0,16.0,97.0,40.5
72061,0,61,165.0,64.0,7.0,84.0,39.7
36407,1,54,193.0,98.0,5.0,81.0,39.1
51035,1,32,178.0,77.0,28.0,112.0,40.8
26891,1,50,187.0,88.0,3.0,81.0,38.8
43703,1,21,174.0,72.0,11.0,91.0,40.1
52053,0,64,151.0,55.0,27.0,109.0,40.9
10054,0,21,162.0,57.0,29.0,110.0,40.5
45297,1,47,184.0,86.0,19.0,97.0,40.5
42694,0,22,157.0,50.0,11.0,83.0,40.1
23900,0,54,174.0,74.0,26.0,104.0,40.7
15645,1,28,190.0,94.0,12.0,93.0,39.9
8510,0,26,174.0,70.0,24.0,100.0,40.9
74095,1,45,182.0,81.0,3.0,91.0,38.9
9858,1,44,181.0,80.0,29.0,108.0,40.7
68520,0,73,164.0,65.0,26.0,117.0,40.9
536,1,24,188.0,86.0,26.0,107.0,40.8
46942,0,54,154.0,54.0,19.0,94.0,40.1
43914,1,67,186.0,88.0,10.0,89.0,39.9
74775,0,54,161.0,65.0,12.0,91.0,40.1
31298,1,36,191.0,91.0,30.0,116.0,40.9
13485,1,45,192.0,94.0,3.0,90.0,38.4
45107,1,61,191.0,97.0,29.0,116.0,40.9
46986,1,35,192.0,93.0,26.0,107.0,40.9
51634,0,64,172.0,68.0,7.0,82.0,39.6
74421,1,32,174.0,75.0,4.0,94.0,39.0
21131,1,20,186.0,81.0,1.0,82.0,37.7
29804,1,28,164.0,73.0,14.0,89.0,40.4
50967,0,75,174.0,74.0,24.0,101.0,40.8
45456,1,42,192.0,100.0,10.0,81.0,39.8
682,1,25,190.0,93.0,27.0,116.0,40.7
68594,1,34,182.0,87.0,3.0,86.0,38.2
31393,1,39,175.0,76.0,4.0,89.0,38.9
23271,0,31,171.0,63.0,29.0,110.0,40.9
2734,0,20,162.0,51.0,22.0,94.0,40.5
63167,1,29,187.0,87.0,25.0,95.0,40.6
60319,1,31,187.0,87.0,7.0,83.0,39.3
59011,0,39,155.0,61.0,13.0,98.0,40.0
25067,1,24,179.0,82.0,22.0,101.0,40.7
71540,0,50,165.0,61.0,16.0,99.0,40.7
38161,1,54,199.0,104.0,3.0,84.0,39.0
38552,0,34,183.0,74.0,20.0,99.0,40.7
55181,1,34,179.0,79.0,19.0,102.0,40.5
17209,1,52,187.0,89.0,20.0,101.0,40.3
59536,0,61,170.0,72.0,18.0,97.0,40.4
60518,0,25,162.0,64.0,15.0,90.0,40.3
33219,1,34,184.0,87.0,14.0,96.0,40.2
61898,1,20,189.0,86.0,26.0,110.0,40.8
62829,1,48,195.0,92.0,5.0,88.0,39.1
15262,0,61,159.0,58.0,17.0,89.0,40.2
14581,0,44,165.0,69.0,30.0,104.0,40.8
66526,1,26,194.0,94.0,29.0,111.0,40.7
31808,0,35,154.0,55.0,5.0,87.0,39.1
27454,0,45,177.0,71.0,4.0,78.0,39.4
74392,1,31,175.0,75.0,1.0,71.0,37.5
52264,0,79,172.0,70.0,24.0,106.0,40.6
74372,1,44,182.0,82.0,3.0,82.0,38.7
24383,1,45,184.0,83.0,27.0,104.0,40.2
15780,0,20,162.0,57.0,18.0,102.0,40.4
45450,1,33,183.0,83.0,21.0,93.0,40.5
39873,1,45,169.0,76.0,4.0,94.0,38.9
60198,1,66,173.0,77.0,2.0,79.0,38.3
23388,1,31,188.0,87.0,14.0,98.0,40.1
47810,1,70,182.0,87.0,6.0,92.0,39.5
58814,0,20,169.0,69.0,19.0,98.0,40.4
36238,0,21,183.0,82.0,5.0,84.0,39.1
55847,1,31,182.0,87.0,19.0,99.0,40.5
47682,1,20,182.0,85.0,13.0,93.0,40.1
37881,1,45,180.0,80.0,25.0,109.0,40.3
36033,0,53,179.0,75.0,16.0,94.0,40.3
11015,1,31,202.0,98.0,7.0,80.0,39.3
12859,1,54,187.0,94.0,5.0,78.0,39.0
223,1,21,183.0,82.0,25.0,117.0,40.8
38249,1,21,171.0,75.0,6.0,91.0,39.7
67442,1,64,189.0,99.0,11.0,91.0,40.1
11489,1,29,191.0,89.0,24.0,106.0,40.7
60276,1,40,182.0,85.0,9.0,85.0,39.7
25501,1,45,179.0,84.0,26.0,110.0,40.7
74202,0,60,181.0,75.0,21.0,108.0,40.6
49575,0,27,158.0,62.0,24.0,101.0,40.5
14700,0,28,174.0,70.0,19.0,101.0,40.1
69722,1,22,189.0,88.0,14.0,97.0,39.9
28332,0,62,154.0,55.0,20.0,100.0,40.5
16502,1,54,174.0,76.0,8.0,90.0,39.6
46476,0,27,163.0,58.0,20.0,100.0,40.7
